Loyola Marymount University,65,
Virginia Polytechnic Institute and State University,65,
San Diego State University,65,
Christopher Newport University,65,
University of the Pacific,65,
Point Loma Nazarene University,65,
Ramapo College of New Jersey,65,
DePaul University,65,
Washington State University,65,
Lee University,65,
Barton College,65,
University of South Florida-Main Campus,64,
The University of Tennessee-Knoxville,64,
Converse College,64,
Eureka College,64,
Kansas City Art Institute,64,
Carthage College,64,
Merrimack College,64,
Elizabeth City State University,64,
Winston-Salem State University,64,
Chaminade University of Honolulu,64,
University of Houston,63,
School of the Art Institute of Chicago,63,
Butler University,63,
Judson University,63,
Kent State University at Kent,63,
Shenandoah University,63,
Wright State University-Main Campus,63,
Toccoa Falls College,63,
Hawaii Pacific University,63,
Emerson College,62,
Elon University,62,
Florida State University,62,
University of North Carolina Wilmington,62,
George Mason University,62,
The University of Tampa,62,
SUNY Oneonta,62,
University of Montevallo,62,
Arkansas State University-Main Campus,62,
University of Mary Hardin-Baylor,62,
University of the Incarnate Word,62,
Southern New Hampshire University,62,
Clemson University,61,
University of North Carolina School of the Arts,61,
University of North Carolina at Charlotte,61,
Oklahoma City University,61,
University of Illinois at Chicago,61,
Belmont University,61,
Brevard College,61,
Dallas Baptist University,61,
Mississippi State University,61,
York College Pennsylvania,61,
Woodbury University,61,
University of Alaska Fairbanks,61,
Columbus College of Art and Design,61,
Holy Cross College,61,
University of North Carolina at Pembroke,61,
State University of New York at New Paltz,60,
Lindenwood University,60,
Michigan State University,60,
University of Missouri-Columbia,60,
East Carolina University,60,
Endicott College,60,
University of New Haven,60,
Miami University-Oxford,59,
University of Maryland-Baltimore County,59,
Flagler College-St Augustine,59,
Oklahoma Christian University,59,
Becker College,59,
University of South Dakota,59,
Maryville University of Saint Louis,59,
University of Toledo,59,
Georgia Institute of Technology-Main Campus,58,
University of Connecticut,58,
Pennsylvania State University-Main Campus,58,
The University of Alabama,58,
Pratt Institute,58,
University of Delaware,58,
University of Oregon,58,
Western Oregon University,58,
Indiana University of Pennsylvania-Main Campus,58,
Bethune-Cookman University,58,
Cleveland Institute of Art,57,
SUNY at Albany,57,
The University of the Arts,57,
Molloy College,57,
The Evergreen State College,57,
Johnson C Smith University,57,
Arizona Christian University,57,
Reinhardt University,57,
California Polytechnic State University-San Luis Obispo,56,
New York University,56,
University of Arkansas,56,
California State Polytechnic University-Pomona,56,
University of Wisconsin-Whitewater,56,
Ohio University-Main Campus,56,
University of South Alabama,56,
University of Akron Main Campus,56,
University of Central Florida,55,
University of the Sciences,55,
University of San Francisco,55,
High Point University,55,
Virginia Commonwealth University,55,
Wentworth Institute of Technology,55,
Regent University,55,
University of Pittsburgh-Pittsburgh Campus,54,
Georgia State University,54,
Biola University,54,
Florida College,54,
Grove City College,53,
College of Charleston,53,
University of Kentucky,53,
Robert Morris University Illinois,52,
Adelphi University,52,
Auburn University,52,
Marymount Manhattan College,52,
Citadel Military College of South Carolina,52,
University of Wisconsin-River Falls,52,
Rutgers University-New Brunswick,51,
New Jersey Institute of Technology,51,
University of Hawaii-West Oahu,50,
Ringling College of Art and Design,50,
SUNY at Buffalo,49,
Fresno Pacific University,49,
Cleveland State University,48,
Clark Atlanta University,48,
Bryant University,47,
Mount Saint Mary's University,47,
University of Mary Washington,46,
Anderson University (SC),43,
Hampton University,43,
Savannah College of Art and Design,43,
The College of New Jersey,42,
Metropolitan College of New York,42,
Newman University,41,
University of South Carolina-Columbia,40,
Missouri University of Science and Technology,40,
SUNY College at Geneseo,40,
University of Wisconsin-Milwaukee,40,
Stevens Institute of Technology,39,
